Country,avg_happiness_score,avg_economy,avg_family,avg_health,avg_freedom,avg_trust,avg_generosity,Cluster
Kuwait,6.135871416285714,1.5234494438571429,1.1464283677142857,0.6903120915714286,0.5273212874285714,0.16482206900000002,0.1588529842857143,4
Uzbekistan,6.095371432285715,0.7263491481428571,1.3759313131428572,0.6004751915714286,0.6698869984285715,0.2697683554285714,0.34170352428571427,1
Slovenia,6.037771411285714,1.2673297787142856,1.3384537874285714,0.8456080391428571,0.6066379931428572,0.055552186,0.1892872272857143,4
Poland,6.036614264428572,1.2176310018571428,1.2786345344285714,0.7671605462857143,0.5211950914285715,0.08013843671428572,0.119837173,4
Nicaragua,6.035157188428571,0.6713460498571429,1.1632969228571428,0.7129227451428571,0.5061770215714286,0.15598036514285715,0.24277509914285714,4
Lithuania,6.017071404,1.2442245707142858,1.3335631208571428,0.7069130175714285,0.3106289392857143,0.034675131,0.03364509971428571,4
Ecuador,5.949885697571428,0.9181834284285715,1.1162809181428572,0.7493362807142857,0.5018389642857143,0.12245114714285714,0.11832413457142857,4
Japan,5.9199714420000005,1.334921326857143,1.27376236,0.9723396017142857,0.49526448871428574,0.1710929107142857,0.07622493542857144,4
Kazakhstan,5.914557102714285,1.1864457867142857,1.2917838157142856,0.6299100702857143,0.47051091785714283,0.11065808171428572,0.15157974514285713,4
South Korea,5.877771375428571,1.3172955848571428,1.0175021398571429,0.9380838102857143,0.2652911451428571,0.07937270728571429,0.176398319,2
Cyprus,5.863714247571429,1.2806339295714286,1.008526289857143,0.9135998997142857,0.401326773,0.049026445714285716,0.23637523357142856,4
Romania,5.822242850142857,1.157747933142857,1.0344913414285715,0.7240533102857143,0.46623658114285715,0.0036424957142857143,0.09772450528571429,4
Kosovo,5.818314269428571,0.8812708175714286,1.009059475,0.6006401738571429,0.39128833742857144,0.03170152028571429,0.30003404471428574,4
Mauritius,5.811899992857143,1.114627071,1.1617696897142857,0.6898266958571428,0.5394564942857143,0.06564425485714286,0.27253975742857145,4
Bolivia,5.789928556714286,0.7727547012857143,1.0571670865714287,0.5492822734285714,0.5619924895714286,0.06869719471428572,0.17175368557142856,4
Jamaica,5.786971420285714,0.8499068151428572,1.256321036857143,0.6906509245714285,0.521545978,0.03504936657142857,0.15526240428571428,4
Estonia,5.771400014571428,1.2465286521428571,1.3354919467142856,0.749053332,0.5155408907142858,0.188577963,0.10043679414285714,4
Latvia,5.766142816285714,1.1933062964285714,1.2615691044285715,0.692908485,0.32336810271428573,0.07649346442857143,0.11917039014285714,4
Malaysia,5.755471477571429,1.2109881494285715,1.0907326177142858,0.6912709,0.486822359,0.067226263,0.3254264415714286,4
Peru,5.754114327142857,0.9614263502857143,1.0814737652857143,0.7093886125714286,0.46774184814285713,0.03984167814285714,0.11078879028571428,4
Moldova,5.738071413857143,0.721433918,1.1218196812857142,0.6207306648571429,0.3176429338571429,0.010378575714285715,0.1830440442857143,2
Russia,5.716571403571429,1.1933853877142857,1.2942437854285713,0.6175664634285715,0.37269895814285714,0.03722460614285714,0.063236534,4
Paraguay,5.668300011285714,0.8795868771428571,1.3226232057142857,0.6428643341428572,0.5311939791428572,0.07193189885714285,0.22511569985714286,4
Belarus,5.580557084714286,1.0811360084285715,1.2978435051428572,0.6866318338571429,0.3034923042857143,0.1729130367142857,0.108564367,2
Libya,5.554828592,1.0564352615714285,1.156746861142857,0.5748050932857143,0.446641041,0.13606975557142856,0.146950195,4
Philippines,5.546142838571429,0.797901413,1.1208898982857143,0.5310997908571429,0.6047314051428572,0.11543966,0.16448909071428572,4
Croatia,5.525671486428571,1.160230074142857,1.0213682685714285,0.7784505855714285,0.323447025,0.025821159428571428,0.13582599357142858,2
Hungary,5.5199142782857145,1.2122398644285715,1.2562760697142856,0.729241046,0.28472647442857146,0.03121215857142857,0.08355612871428572,2
Serbia,5.507457161571429,1.0131999154285714,1.1549383944285714,0.7209068521428572,0.28777056385714284,0.04541584685714286,0.17572696771428573,2
Portugal,5.480414326857143,1.2359937322857142,1.2269419095714285,0.8695684032857143,0.5344743555714286,0.020656131142857144,0.07617709428571429,4
Algeria,5.461442855714286,0.9935243525714286,1.0398615782857143,0.6603861707142857,0.1564470867142857,0.139955252,0.08700166585714286,2
Turkmenistan,5.4423000172857146,1.0417686211428572,1.358782301142857,0.5202991595714286,0.4566698007142857,0.14055489,0.2539306162857143,4
Honduras,5.439457156571429,0.654849529,1.0382927261428572,0.670927066,0.44703684814285716,0.07606607928571428,0.23019815328571427,2
Venezuela,5.371742824,0.9835114055714286,1.265980636857143,0.6799613938571428,0.23203776342857144,0.07040655714285714,0.064444112,2
Montenegro,5.3695857327142855,1.0581484444285714,1.0974763428571428,0.7291476527142857,0.24070327185714285,0.099825615,0.15703305057142858,2
Pakistan,5.335328546142857,0.6561818578571429,0.6200186101428572,0.438671575,0.28183957085714284,0.11405431257142858,0.2686730117142857,3
Bosnia and Herzegovina,5.328014297428571,0.9369806968571429,1.006450352,0.7483692134285714,0.22633270257142857,0.0020632124285714284,0.2685489627142857,2
Dominican Republic,5.318742849,1.0126865264285714,1.231326514142857,0.6442450630000001,0.5529676762857143,0.12099299071428571,0.15183780442857142,4
Turkey,5.308114310714286,1.1631919464285714,1.1296289068571428,0.6974058431428571,0.2538830514285714,0.11722783185714286,0.08402551585714285,2
Kyrgyzstan,5.307500039857143,0.5557315781428571,1.2379664668571428,0.6082105257142857,0.5182073077142857,0.03397798142857143,0.32308158771428575,4
Greece,5.285714300428571,1.2040682281428572,1.037349734,0.8728643787142857,0.120779657,0.04276773271428572,0,2
Indonesia,5.2700857527142855,0.9215099005714286,1.0852250844285714,0.5499218224285715,0.499566413,0.021259392571428573,0.5368444450000001,4
China,5.2225571,1.0098027432857144,1.0122111551428572,0.7882648622857142,0.5407832607142857,0.07361568985714285,0.059895412142857145,4
Vietnam,5.219642824428571,0.7360242795714286,1.1168565851428571,0.7212332837142857,0.6022673092857143,0.09149309942857142,0.176972396,4
Tajikistan,5.2158142448571425,0.4790583215714286,1.0372129977142857,0.5898299895714286,0.4468496968571429,0.1541381512857143,0.21287639557142857,2
Azerbaijan,5.211685767571429,1.0547849238571427,1.0257661851428572,0.6243428332857143,0.4137800802857143,0.20029781257142856,0.04696750771428571,2
Mongolia,5.1827428638571424,0.9395469487142857,1.350767406857143,0.5735630922857142,0.379261012,0.03742077357142857,0.29014856657142857,2
Morocco,5.124828589857143,0.7977295272857143,0.6064247018571429,0.6508653701428572,0.4123689244285714,0.08180696957142856,0.040070358,2
Nigeria,5.017157142142858,0.6977383021428571,0.951398346,0.11141452371428572,0.39613028857142857,0.036644500142857146,0.22639933142857144,3
Lebanon,5.014785716571429,1.0156485781428573,1.004995366857143,0.7599903161428572,0.2813532364285714,0.046351711000000004,0.19977784285714287,2
Jordan,4.989485704142857,0.8891287988571428,1.0671839274285715,0.675532112,0.41658803314285714,0.13736884242857142,0.11940217557142857,2
Nepal,4.924028538857143,0.445728652,0.9996503671428572,0.5649257387142858,0.4466934575714286,0.09023264414285714,0.324803996,3
Cameroon,4.815128582,0.5203904872857144,0.8165478098571428,0.2051545242857143,0.4357258901428571,0.051831436142857144,0.20604265114285714,3
Albania,4.794671431285714,0.9439736857142857,0.7334484515714286,0.7758299108571428,0.40177636085714286,0.03790935728571429,0.16835152985714286,2
Bulgaria,4.780071465571429,1.0943191104285714,1.2870740537142857,0.7200777967142857,0.3413016834285714,0.0062745044285714285,0.10487877242857142,2
South Africa,4.735157112142858,0.9669270207142857,1.2064406975714286,0.303014877,0.4318469365714286,0.06671451957142857,0.12843703257142858,2
Ghana,4.702571378428571,0.6146767558571429,0.7674432424285714,0.36227571171428574,0.4472094797142857,0.040722393,0.24087359285714285,3
Iran,4.691342844285714,1.0716536588571428,0.6715517754285715,0.6808224321428571,0.30218401142857143,0.10053465514285714,0.3303516932857143,2
Bangladesh,4.679828530428572,0.5444484647142858,0.6543546174285715,0.5965302201428572,0.5140667464285714,0.14328196671428572,0.17607720985714287,3
Palestinian Territories,4.678971467714286,0.6454254924285714,1.0393246732857142,0.5880119352857143,0.25669168742857146,0.08762517914285714,0.1001484907142857,2
Tunisia,4.661457117285714,0.9257683561428571,0.7424941665714285,0.689009824,0.2565358922857143,0.06255753171428571,0.05217778571428572,2
Congo (Brazzaville),4.631914246142857,0.680761571,0.6760814820000001,0.3569555082857143,0.41179718085714284,0.10095413114285715,0.117531163,3
Iraq,4.611542895714286,1.015422742,0.8557171171428571,0.5192373097142857,0.23824336928571427,0.09708867814285714,0.16810704742857144,2
Senegal,4.583257142714285,0.4554986914285714,0.9562336187142857,0.44696068,0.35537188085714283,0.09475234071428572,0.1709037182857143,3
Armenia,4.560828528857143,0.8571327351428571,0.8924200877142857,0.6928730994285714,0.28545986785714283,0.07092180085714286,0.08545626142857143,2
Ivory Coast,4.557900005285714,0.5627933335714286,0.7343453272857143,0.109170669,0.425302675,0.12043965271428571,0.179026151,3
Gabon,4.53147144,1.0764292314285715,0.9921396752857143,0.42846763285714284,0.33670121057142854,0.07241447514285715,0.051351282857142855,2
Kenya,4.491000022285714,0.5046104087142858,0.896169783,0.4260173012857143,0.4596934717142857,0.06258462814285715,0.38949462885714287,3
Georgia,4.465371366714286,0.8780901047142857,0.5154169762857143,0.6581163721428571,0.3906120204285714,0.24112353014285715,0.04827836428571428,2
Ukraine,4.424528590714286,0.8484323652857143,1.2419662927142856,0.6285369047142857,0.22574549728571427,0.015940090142857143,0.1942846827142857,2
Zambia,4.39348569,0.5605200774285715,0.8728492257142857,0.3011998907142857,0.46983014742857143,0.09248411257142858,0.22425300671428572,3
Cambodia,4.386485762428571,0.5555457191428571,0.8760749107142858,0.5105382482857143,0.6523280244285714,0.068904779,0.3034635784285714,3
Myanmar,4.378428594857143,0.53077164,0.9568963154285715,0.4427465207142857,0.5264372717142857,0.18530236557142857,0.6724969841428572,3
Sri Lanka,4.373571456857142,0.9390367274285715,1.1029709252857143,0.6916139348571428,0.5356108167142857,0.06293264714285715,0.34451281542857143,2
