Country,Period,Gender,Happiness_Rank,Happiness_Score,Economy_GDP_per_Capita,Family,Healthy_Life_Expectancy,Trust_Government_Corruption,Generosity,Region,adolBirthRate,alcoholPerCapita,popUsingSanitationPct,suicidePer100K,lifeExpectancy,infantMortalityPer1000,lifeExpectancyAtBirth,medicalDoctorsPer10000,tobaccoSmokingAbove15,iso_code,year,coal_prod_per_capita,energy_per_capita,fossil_energy_per_capita,gas_energy_per_capita,hydro_energy_per_capita,low_carbon_energy_per_capita,nuclear_energy_per_capita,oil_energy_per_capita,renewables_energy_per_capita,solar_energy_per_capita
Germany,2019,Total,17,6.985,1.373,,0.987,0.265,0.261,,,,,,70.89,3.22,81.72,,,DEU,2019,4208.195,43703.379,33836.221,10615.434,598.688,9867.158,2225.808,15557.671,7641.351,1408.845
Germany,2020,Total,17,7.075799942,10.7328186,,72.20201874,0.456422031,0.080179386,,,,,,,,,,,DEU,2020,,,,,,,,,,
Germany,2021,Total,13,7.155,10.873,,72.5,0.46,0.011,,,,,,,,,,,,,,,,,,,,,,
Ghana,2015,Total,114,4.633,0.54558,0.67954,0.40132,0.04355,0.23087,Sub-Saharan Africa,76,3.12,17.15,5.3,56.49,38.75,64.55,,4,GHA,2015,0,2906.568,,,,,,,,
Ghana,2016,Total,124,4.276,0.63107,0.49353,0.29681,0.0326,0.21203,Sub-Saharan Africa,75.1,,17.81,0,,37.41,,1.27,3.9,GHA,2016,0,2704.759,,,,,,,,
Ghana,2017,Total,131,4.119999886,0.667224824,0.873664737,0.295637727,0.02533637,0.256923944,,,,18.47,,,36.14,,1.36,3.8,GHA,2017,,,,,,,,,,
Ghana,2018,Total,108,4.657,0.592,,0.337,0.029,0.212,,,2.75,,,,34.96,,,3.7,GHA,2018,,,,,,,,,,
Ghana,2019,Total,98,4.996,0.611,,0.486,0.04,0.245,,,,,,57.98,33.89,66.28,,,GHA,2019,,,,,,,,,,
Ghana,2020,Total,91,5.147999763,8.350645065,,57.20398712,0.847964764,0.094170853,,,,,,,,,,,,,,,,,,,,,,
Ghana,2021,Total,95,5.088,8.58,,57.586,0.848,0.123,,,,,,,,,,,,,,,,,,,,,,
Greece,2015,Total,102,4.857,1.15406,0.92933,0.88213,0.01397,0,Western Europe,8.4,10.49,98.98,4.8,70.43,3.88,80.38,52.53,40.6,GRC,2015,6191.686,29348.358,25650.703,2881.229,1447.139,3524.108,0,16630.557,3524.108,925.523
Greece,2016,Total,99,5.033,1.24886,0.75473,0.80029,0.04127,0,Western Europe,9.2,,98.98,0,,3.86,,54.04,40.2,GRC,2016,4352.421,28991.961,25281.639,3766.183,1313.19,3528.294,0,16739.936,3528.294,931.055
Greece,2017,Total,87,5.227000237,1.289487481,1.239414573,0.810198903,0.043289777,0,,8.7,,98.98,,,3.74,,54.79,39.6,GRC,2017,5025.773,30676.645,27228.488,4561.741,937.305,3264.512,0,17389.068,3264.512,944.148
Greece,2018,Total,79,5.358,1.154,,0.879,0.044,0,,8.6,10.18,,,,3.54,,,39.1,GRC,2018,4724.96,30655.962,26655.738,4486.404,1356.649,3814.39,0,17115.538,3814.39,895.383
Greece,2019,Total,82,5.287,1.181,,0.999,0.034,0,,,,,,70.87,3.31,81.1,,,GRC,2019,3557.618,30383.697,26515.007,4914.686,947.03,3680.052,0,17922.645,3680.052,936.232
Greece,2020,Total,77,5.514999866,10.13232613,,72.40525818,0.859931409,-0.300907373,,,,,,,,,,,GRC,2020,,,,,,,,,,
Greece,2021,Total,68,5.723,10.279,,72.6,0.823,-0.288,,,,,,,,,,,,,,,,,,,,,,
Guatemala,2015,Total,43,6.123,0.74553,1.04356,0.64425,0.09472,0.27489,Latin America and Caribbean,81.2,2.55,64.98,3.1,61.48,23.68,70.95,,,GTM,2015,,4975.933,,,,,,,,
Guatemala,2016,Total,39,6.324,0.83454,0.87119,0.54039,0.08701,0.28808,Latin America and Caribbean,78.9,,65.02,0,,22.87,,,,GTM,2016,,5198.369,,,,,,,,
Guatemala,2017,Total,29,6.453999996,0.872001946,1.255585194,0.54023999,0.077223279,0.283488393,,,,65.06,,,22.1,,,,GTM,2017,,,,,,,,,,
Guatemala,2018,Total,30,6.382,0.781,,0.608,0.071,0.179,,,2.45,,,,21.41,,3.55,,GTM,2018,,,,,,,,,,
Guatemala,2019,Total,27,6.436,0.8,,0.746,0.078,0.175,,,,,,62.3,20.75,72.02,,,GTM,2019,,,,,,,,,,
Guatemala,2020,Total,29,6.398900032,8.924805641,,64.8089447,0.783237457,-0.042938665,,,,,,,,,,,,,,,,,,,,,,
Guatemala,2021,Total,30,6.435,9.053,,64.958,0.775,-0.038,,,,,,,,,,,,,,,,,,,,,,
Guinea,2015,Total,150,3.656,0.17417,0.46475,0.24009,0.12139,0.28657,Sub-Saharan Africa,132.6,1.07,21.06,6.4,51.51,68.72,58.81,0.86,,GIN,2015,0,1072.206,,,,,,,,
Guinea,2016,Total,151,3.607,0.22415,0.3109,0.18829,0.1192,0.29914,Sub-Saharan Africa,120,,21.89,0,,67.45,,0.83,,GIN,2016,0,1076.807,,,,,,,,
Guinea,2017,Total,149,3.506999969,0.24454993,0.791244686,0.194129139,0.110937618,0.264815092,,,,22.72,,,66.31,,,,GIN,2017,,,,,,,,,,
Guinea,2018,Total,140,3.964,0.344,,0.211,0.094,0.185,,,1.11,,,,65.11,,,,GIN,2018,,,,,,,,,,
Guinea,2019,Total,118,4.534,0.38,,0.375,0.086,0.207,,,,,,53.32,63.82,61.01,,,GIN,2019,,,,,,,,,,
Guinea,2020,Total,102,4.949299812,7.750990391,,54.46780014,0.761794448,0.076328471,,,,,,,,,,,,,,,,,,,,,,
Guinea,2021,Total,102,4.984,7.838,,55.008,0.766,0.095,,,,,,,,,,,,,,,,,,,,,,
Haiti,2015,Total,119,4.518,0.26673,0.74302,0.38847,0.17175,0.46187,Latin America and Caribbean,54.8,2.69,32.5,11.7,54.59,53.21,62.61,0.85,8.8,HTI,2015,0,1160.083,,,,,,,,
Haiti,2016,Total,136,4.028,0.34097,0.29561,0.27494,0.14476,0.47958,Latin America and Caribbean,,,33.6,0,,51.91,,,8.6,HTI,2016,0,1414.389,,,,,,,,
Haiti,2017,Total,145,3.602999926,0.368610263,0.640449822,0.27732113,0.09987215,0.489203781,,,,34.7,,,50.68,,,8.5,HTI,2017,,,,,,,,,,
Haiti,2018,Total,148,3.582,0.315,,0.289,0.104,0.392,,,2.73,,,,49.42,,2.34,8.3,HTI,2018,,,,,,,,,,
Haiti,2019,Total,147,3.597,0.323,,0.449,0.11,0.419,,,,,,55.8,48.22,64.05,,,HTI,2019,,,,,,,,,,
Haiti,2020,Total,142,3.720799923,7.411329269,,55.59862518,0.684767246,0.40053457,,,,,,,,,,,,,,,,,,,,,,
Haiti,2021,Total,143,3.615,7.477,,55.7,0.721,0.422,,,,,,,,,,,,,,,,,,,,,,
Honduras,2015,Total,105,4.788,0.59532,0.95348,0.6951,0.06825,0.23027,Latin America and Caribbean,,3.49,79.22,2.8,61.33,16.49,69.82,,,HND,2015,,5380.331,,,,,,,,
Honduras,2016,Total,104,4.871,0.69429,0.75596,0.58383,0.06906,0.2044,Latin America and Caribbean,,,80.24,0,,15.95,,5.98,,HND,2016,,5400.669,,,,,,,,
Honduras,2017,Total,91,5.181000233,0.730573118,1.143944979,0.58256948,0.073345453,0.236188874,,,,81.25,,,15.4,,3.09,,HND,2017,,,,,,,,,,
Honduras,2018,Total,72,5.504,0.62,,0.622,0.074,0.197,,,3.76,,,,14.93,,,,HND,2018,,,,,,,,,,
Honduras,2019,Total,59,5.86,0.642,,0.828,0.078,0.246,,,,,,62.98,14.45,71.94,,,HND,2019,,,,,,,,,,
